ID_Orden,Producto,Cantidad,Fecha_Compra,Direccion,Precio_Unitario,Mes,Venta_Total
1076,Monitor 4K,2,2025-11-20 06:08:00,Valencia,399,11,798
1077,AirPods Pro,2,2025-08-11 08:32:00,Bilbao,249,8,498
1078,Cargador USB-C,3,2025-02-21 07:17:00,Bilbao,25,2,75
1079,Cargador USB-C,2,2025-08-07 09:48:00,Madrid,25,8,50
1080,MacBook Pro,4,2025-11-29 21:41:00,Barcelona,1499,11,5996
1081,Teclado Mecánico,3,2025-10-29 22:45:00,Sevilla,120,10,360
1082,Google Pixel 8,2,2025-10-26 02:50:00,Barcelona,699,10,1398
1083,Cargador USB-C,3,2025-08-20 01:28:00,Bilbao,25,8,75
1084,Teclado Mecánico,2,2025-02-28 02:21:00,Madrid,120,2,240
1085,Teclado Mecánico,3,2025-04-06 00:18:00,Valencia,120,4,360
1086,AirPods Pro,4,2025-11-19 00:41:00,Bilbao,249,11,996
1087,Cargador USB-C,3,2025-12-27 02:06:00,Sevilla,25,12,75
1088,iPhone 15,2,2025-01-26 05:03:00,Barcelona,999,1,1998
1089,MacBook Pro,2,2025-03-29 11:42:00,Bilbao,1499,3,2998
1090,Cargador USB-C,2,2025-06-20 19:45:00,Sevilla,25,6,50
1091,AirPods Pro,4,2025-05-14 12:50:00,Sevilla,249,5,996
1092,Teclado Mecánico,1,2025-02-24 20:44:00,Barcelona,120,2,120
1093,Monitor 4K,4,2025-07-23 10:13:00,Barcelona,399,7,1596
1094,iPhone 15,2,2025-10-28 07:48:00,Sevilla,999,10,1998
1095,MacBook Pro,1,2025-06-01 08:36:00,Madrid,1499,6,1499
1096,Google Pixel 8,1,2025-12-28 19:21:00,Valencia,699,12,699
1097,Cargador USB-C,3,2025-03-19 14:16:00,Barcelona,25,3,75
1098,AirPods Pro,2,2025-12-01 07:41:00,Madrid,249,12,498
1099,Cargador USB-C,1,2025-04-01 11:53:00,Valencia,25,4,25
1100,Teclado Mecánico,4,2025-03-29 04:53:00,Barcelona,120,3,480
1101,Monitor 4K,3,2025-04-30 09:45:00,Barcelona,399,4,1197
1103,MacBook Pro,1,2025-04-19 04:06:00,Madrid,1499,4,1499
1104,Teclado Mecánico,4,2025-05-18 02:25:00,Madrid,120,5,480
1105,Google Pixel 8,2,2025-06-19 14:29:00,Barcelona,699,6,1398
1106,MacBook Pro,3,2025-06-12 21:44:00,Valencia,1499,6,4497
1107,Cargador USB-C,1,2025-01-26 04:47:00,Barcelona,25,1,25
1108,Teclado Mecánico,4,2025-07-07 10:15:00,Valencia,120,7,480
1109,Monitor 4K,1,2025-03-25 08:48:00,Barcelona,399,3,399
1110,Monitor 4K,1,2025-10-30 00:36:00,Valencia,399,10,399
1111,Cargador USB-C,4,2025-10-16 00:52:00,Sevilla,25,10,100
1112,AirPods Pro,1,2025-06-26 11:01:00,Barcelona,249,6,249
1113,Google Pixel 8,3,2025-04-08 01:13:00,Sevilla,699,4,2097
1114,Teclado Mecánico,3,2025-09-14 17:17:00,Barcelona,120,9,360
1115,Cargador USB-C,3,2025-03-10 12:27:00,Valencia,25,3,75
1116,Cargador USB-C,1,2025-03-31 06:06:00,Barcelona,25,3,25
1117,AirPods Pro,1,2025-05-05 15:00:00,Valencia,249,5,249
1118,MacBook Pro,3,2025-12-28 00:18:00,Valencia,1499,12,4497
1119,Monitor 4K,3,2025-11-28 16:59:00,Sevilla,399,11,1197
1120,Google Pixel 8,3,2025-09-13 20:31:00,Bilbao,699,9,2097
1121,Cargador USB-C,4,2025-01-01 14:06:00,Madrid,25,1,100
1122,AirPods Pro,4,2025-04-04 16:14:00,Bilbao,249,4,996
1123,iPhone 15,3,2025-06-22 00:47:00,Barcelona,999,6,2997
1124,Monitor 4K,2,2025-03-12 17:59:00,Barcelona,399,3,798
1125,Teclado Mecánico,3,2025-05-17 21:17:00,Madrid,120,5,360
1126,AirPods Pro,4,2025-01-22 17:51:00,Valencia,249,1,996
1127,AirPods Pro,1,2025-04-02 22:18:00,Sevilla,249,4,249
1128,AirPods Pro,3,2025-05-11 04:06:00,Sevilla,249,5,747
1129,Teclado Mecánico,2,2025-04-10 23:48:00,Bilbao,120,4,240
1130,AirPods Pro,1,2025-06-10 04:02:00,Valencia,249,6,249
1131,Google Pixel 8,2,2025-11-05 18:13:00,Madrid,699,11,1398
1132,AirPods Pro,2,2025-11-08 23:59:00,Bilbao,249,11,498
1133,Teclado Mecánico,2,2025-07-03 15:55:00,Sevilla,120,7,240
1134,AirPods Pro,2,2025-12-26 02:07:00,Madrid,249,12,498
1135,iPhone 15,2,2025-06-23 04:26:00,Sevilla,999,6,1998
1136,MacBook Pro,4,2025-11-15 07:29:00,Valencia,1499,11,5996
1137,MacBook Pro,3,2025-09-16 08:06:00,Valencia,1499,9,4497
1138,Teclado Mecánico,3,2025-08-30 21:12:00,Sevilla,120,8,360
1139,MacBook Pro,1,2025-10-06 15:48:00,Bilbao,1499,10,1499
1140,MacBook Pro,4,2025-01-16 06:58:00,Valencia,1499,1,5996
1141,Google Pixel 8,4,2025-06-16 17:13:00,Valencia,699,6,2796
1142,Monitor 4K,3,2025-01-09 14:09:00,Sevilla,399,1,1197
1143,Google Pixel 8,3,2025-06-05 19:00:00,Madrid,699,6,2097
1144,AirPods Pro,1,2025-04-12 09:53:00,Madrid,249,4,249
1145,MacBook Pro,4,2025-07-01 20:13:00,Bilbao,1499,7,5996
1146,Monitor 4K,4,2025-08-02 09:18:00,Sevilla,399,8,1596
1147,Teclado Mecánico,3,2025-05-20 06:53:00,Barcelona,120,5,360
1150,MacBook Pro,1,2025-03-25 08:52:00,Sevilla,1499,3,1499
1151,AirPods Pro,2,2025-04-28 10:12:00,Sevilla,249,4,498
1152,AirPods Pro,1,2025-05-18 17:15:00,Barcelona,249,5,249
1153,Google Pixel 8,3,2025-07-06 19:36:00,Valencia,699,7,2097
1154,Monitor 4K,4,2025-01-08 15:30:00,Valencia,399,1,1596
1155,Teclado Mecánico,4,2025-11-21 04:42:00,Sevilla,120,11,480
1156,MacBook Pro,1,2025-04-19 08:50:00,Bilbao,1499,4,1499
1157,Cargador USB-C,4,2025-06-17 21:26:00,Sevilla,25,6,100
1158,Teclado Mecánico,3,2025-05-07 06:31:00,Bilbao,120,5,360
1159,Monitor 4K,3,2025-12-17 01:36:00,Barcelona,399,12,1197
1160,Teclado Mecánico,1,2025-02-12 03:36:00,Valencia,120,2,120
1161,MacBook Pro,3,2025-03-30 00:11:00,Valencia,1499,3,4497
1162,MacBook Pro,1,2025-01-10 01:15:00,Sevilla,1499,1,1499
1163,Monitor 4K,1,2025-12-02 11:08:00,Valencia,399,12,399
1164,Cargador USB-C,3,2025-03-28 19:18:00,Madrid,25,3,75
1165,Cargador USB-C,2,2025-01-08 14:24:00,Valencia,25,1,50
1166,MacBook Pro,2,2025-06-17 06:08:00,Valencia,1499,6,2998
1167,Teclado Mecánico,1,2025-02-16 13:18:00,Madrid,120,2,120
1168,AirPods Pro,2,2025-06-19 16:06:00,Valencia,249,6,498
1169,Monitor 4K,2,2025-02-07 18:03:00,Barcelona,399,2,798
1170,Teclado Mecánico,2,2025-03-16 12:23:00,Barcelona,120,3,240
1171,iPhone 15,4,2025-04-15 21:26:00,Madrid,999,4,3996
1172,Teclado Mecánico,1,2025-09-29 15:49:00,Barcelona,120,9,120
1173,AirPods Pro,1,2025-06-29 07:54:00,Barcelona,249,6,249
1174,AirPods Pro,2,2025-03-08 21:53:00,Valencia,249,3,498
1175,AirPods Pro,1,2025-11-06 10:30:00,Bilbao,249,11,249
1176,Teclado Mecánico,2,2025-12-08 19:34:00,Barcelona,120,12,240
1177,Monitor 4K,3,2025-03-31 11:15:00,Sevilla,399,3,1197
1178,Monitor 4K,3,2025-01-17 05:05:00,Bilbao,399,1,1197
1179,Google Pixel 8,2,2025-09-21 19:33:00,Barcelona,699,9,1398
1180,iPhone 15,2,2025-05-24 16:21:00,Barcelona,999,5,1998
1181,Cargador USB-C,1,2025-05-23 00:55:00,Bilbao,25,5,25
1182,Google Pixel 8,3,2025-08-24 03:06:00,Valencia,699,8,2097
1183,Cargador USB-C,3,2025-08-07 10:47:00,Sevilla,25,8,75
1184,Monitor 4K,3,2025-09-02 06:08:00,Madrid,399,9,1197
1185,Cargador USB-C,3,2025-04-24 11:05:00,Sevilla,25,4,75
1186,Teclado Mecánico,4,2025-11-18 07:03:00,Bilbao,120,11,480
1187,Teclado Mecánico,3,2025-09-27 17:21:00,Valencia,120,9,360
1188,Teclado Mecánico,4,2025-03-23 11:17:00,Barcelona,120,3,480
1189,Cargador USB-C,4,2025-01-21 15:41:00,Valencia,25,1,100
1190,MacBook Pro,4,2025-12-05 09:49:00,Valencia,1499,12,5996
1191,AirPods Pro,4,2025-08-11 21:34:00,Valencia,249,8,996
1192,Google Pixel 8,2,2025-03-05 02:18:00,Sevilla,699,3,1398
1193,Teclado Mecánico,2,2025-03-04 01:57:00,Bilbao,120,3,240
1194,AirPods Pro,2,2025-05-13 01:48:00,Sevilla,249,5,498
1195,Monitor 4K,4,2025-03-30 08:21:00,Madrid,399,3,1596
1196,AirPods Pro,2,2025-09-17 13:34:00,Madrid,249,9,498
1200,AirPods Pro,4,2025-09-12 05:02:00,Madrid,249,9,996
1201,Monitor 4K,3,2025-02-09 01:58:00,Barcelona,399,2,1197
1202,Cargador USB-C,2,2025-11-01 12:04:00,Madrid,25,11,50
1203,Google Pixel 8,2,2025-04-21 04:02:00,Madrid,699,4,1398
1204,Monitor 4K,3,2025-05-19 18:55:00,Barcelona,399,5,1197
1205,iPhone 15,4,2025-05-09 13:11:00,Barcelona,999,5,3996
1206,Teclado Mecánico,3,2025-08-02 11:43:00,Bilbao,120,8,360
1207,Monitor 4K,1,2025-07-25 15:30:00,Sevilla,399,7,399
1208,Monitor 4K,3,2025-11-22 16:11:00,Sevilla,399,11,1197
1209,Cargador USB-C,3,2025-09-27 22:30:00,Barcelona,25,9,75
1210,AirPods Pro,1,2025-09-28 20:43:00,Sevilla,249,9,249
1211,Monitor 4K,3,2025-09-12 09:40:00,Madrid,399,9,1197
1212,Google Pixel 8,1,2025-01-19 13:46:00,Madrid,699,1,699
1214,Teclado Mecánico,1,2025-08-01 20:11:00,Sevilla,120,8,120
1215,MacBook Pro,3,2025-10-22 09:16:00,Bilbao,1499,10,4497
1216,iPhone 15,4,2025-01-11 00:43:00,Bilbao,999,1,3996
1217,Google Pixel 8,4,2025-01-27 18:53:00,Valencia,699,1,2796
1218,Teclado Mecánico,3,2025-07-16 13:40:00,Barcelona,120,7,360
1219,Monitor 4K,1,2025-02-14 15:39:00,Valencia,399,2,399
1220,MacBook Pro,4,2025-01-05 19:55:00,Madrid,1499,1,5996
1221,Cargador USB-C,1,2025-05-11 15:34:00,Bilbao,25,5,25
1223,AirPods Pro,3,2025-06-23 11:09:00,Sevilla,249,6,747
1224,Teclado Mecánico,4,2025-04-25 23:09:00,Bilbao,120,4,480
1225,Monitor 4K,3,2025-11-03 09:29:00,Madrid,399,11,1197
1226,Monitor 4K,3,2025-03-10 00:29:00,Sevilla,399,3,1197
1227,MacBook Pro,2,2025-11-05 04:06:00,Barcelona,1499,11,2998
1228,iPhone 15,2,2025-07-16 00:16:00,Bilbao,999,7,1998
1229,Teclado Mecánico,2,2025-06-20 04:13:00,Valencia,120,6,240
1230,Google Pixel 8,1,2025-01-11 06:54:00,Barcelona,699,1,699
1231,iPhone 15,4,2025-01-05 05:31:00,Barcelona,999,1,3996
1232,Google Pixel 8,4,2025-07-20 14:58:00,Bilbao,699,7,2796
1233,Teclado Mecánico,3,2025-09-16 06:03:00,Madrid,120,9,360
1234,Teclado Mecánico,3,2025-10-04 04:24:00,Madrid,120,10,360
1235,AirPods Pro,3,2025-09-03 11:32:00,Sevilla,249,9,747
1236,MacBook Pro,3,2025-04-05 03:01:00,Bilbao,1499,4,4497
1237,Monitor 4K,2,2025-10-26 08:07:00,Bilbao,399,10,798
1238,AirPods Pro,2,2025-09-10 21:43:00,Sevilla,249,9,498
1239,AirPods Pro,4,2025-01-19 19:44:00,Valencia,249,1,996
1240,Monitor 4K,3,2025-09-28 12:05:00,Barcelona,399,9,1197
1241,MacBook Pro,3,2025-10-10 01:05:00,Barcelona,1499,10,4497
1242,MacBook Pro,4,2025-04-27 23:09:00,Madrid,1499,4,5996
1243,Cargador USB-C,1,2025-05-25 00:51:00,Barcelona,25,5,25
1244,AirPods Pro,2,2025-03-15 11:32:00,Valencia,249,3,498
1245,Teclado Mecánico,1,2025-11-08 16:07:00,Sevilla,120,11,120
1246,Teclado Mecánico,3,2025-09-30 14:52:00,Barcelona,120,9,360
1247,Google Pixel 8,2,2025-04-09 22:58:00,Sevilla,699,4,1398
1248,MacBook Pro,2,2025-10-27 16:46:00,Barcelona,1499,10,2998
1249,iPhone 15,3,2025-01-03 08:30:00,Barcelona,999,1,2997
1250,Teclado Mecánico,3,2025-04-11 20:43:00,Sevilla,120,4,360
1251,Google Pixel 8,3,2025-03-18 20:29:00,Sevilla,699,3,2097
1252,AirPods Pro,2,2025-06-13 01:26:00,Barcelona,249,6,498
1253,MacBook Pro,4,2025-04-04 19:33:00,Barcelona,1499,4,5996
1254,Teclado Mecánico,2,2025-03-09 16:23:00,Bilbao,120,3,240
1255,Monitor 4K,4,2025-05-03 18:53:00,Bilbao,399,5,1596
1256,Monitor 4K,1,2025-05-01 04:06:00,Sevilla,399,5,399
1257,MacBook Pro,3,2025-11-23 18:03:00,Valencia,1499,11,4497
1259,Teclado Mecánico,1,2025-11-20 17:32:00,Bilbao,120,11,120
1260,Teclado Mecánico,4,2025-03-30 13:08:00,Madrid,120,3,480
1261,Teclado Mecánico,3,2025-05-16 21:11:00,Barcelona,120,5,360
1262,Cargador USB-C,2,2025-07-10 02:37:00,Bilbao,25,7,50
1263,Cargador USB-C,3,2025-10-04 14:51:00,Bilbao,25,10,75
1264,Teclado Mecánico,2,2025-12-21 18:51:00,Sevilla,120,12,240
1265,Teclado Mecánico,2,2025-07-16 05:24:00,Bilbao,120,7,240
1266,Monitor 4K,4,2025-03-12 14:00:00,Barcelona,399,3,1596
1267,Monitor 4K,1,2025-05-12 01:41:00,Bilbao,399,5,399
1268,Cargador USB-C,1,2025-02-24 11:23:00,Bilbao,25,2,25
1269,Teclado Mecánico,3,2025-10-02 05:37:00,Madrid,120,10,360
1270,AirPods Pro,1,2025-06-11 14:41:00,Sevilla,249,6,249
1271,MacBook Pro,4,2025-04-15 08:37:00,Valencia,1499,4,5996
1272,Google Pixel 8,4,2025-06-30 15:48:00,Valencia,699,6,2796
1273,Cargador USB-C,4,2025-06-05 03:03:00,Madrid,25,6,100
1274,Teclado Mecánico,2,2025-09-06 03:29:00,Valencia,120,9,240
1275,Teclado Mecánico,1,2025-10-08 09:24:00,Sevilla,120,10,120
1276,iPhone 15,2,2025-08-02 04:53:00,Sevilla,999,8,1998
1277,Monitor 4K,2,2025-05-20 09:53:00,Valencia,399,5,798
1278,MacBook Pro,3,2025-05-02 01:10:00,Valencia,1499,5,4497
1279,Monitor 4K,1,2025-10-13 15:22:00,Valencia,399,10,399
1281,AirPods Pro,3,2025-09-17 09:29:00,Bilbao,249,9,747
1282,AirPods Pro,1,2025-05-26 00:29:00,Madrid,249,5,249
1283,Teclado Mecánico,2,2025-04-02 18:50:00,Sevilla,120,4,240
1284,Monitor 4K,4,2025-02-21 14:02:00,Valencia,399,2,1596
1285,Google Pixel 8,1,2025-08-10 13:34:00,Valencia,699,8,699
1286,Cargador USB-C,4,2025-04-01 18:18:00,Sevilla,25,4,100
1287,Google Pixel 8,1,2025-04-27 10:12:00,Barcelona,699,4,699
1288,Google Pixel 8,1,2025-12-24 05:33:00,Valencia,699,12,699
1290,MacBook Pro,4,2025-05-25 19:12:00,Madrid,1499,5,5996
1291,iPhone 15,2,2025-02-17 06:34:00,Sevilla,999,2,1998
1292,Monitor 4K,1,2025-03-27 02:56:00,Madrid,399,3,399
1293,Monitor 4K,1,2025-02-18 20:42:00,Valencia,399,2,399
1294,Cargador USB-C,1,2025-08-15 21:03:00,Barcelona,25,8,25
1295,Google Pixel 8,2,2025-09-20 05:25:00,Valencia,699,9,1398
1296,MacBook Pro,2,2025-06-26 03:33:00,Sevilla,1499,6,2998
1297,Teclado Mecánico,3,2025-03-06 18:52:00,Madrid,120,3,360
1298,Monitor 4K,2,2025-12-14 02:19:00,Bilbao,399,12,798
1299,Cargador USB-C,2,2025-10-20 20:49:00,Bilbao,25,10,50
1300,AirPods Pro,3,2025-10-27 14:17:00,Valencia,249,10,747
1301,AirPods Pro,1,2025-03-06 09:21:00,Barcelona,249,3,249
1302,iPhone 15,1,2025-04-04 08:12:00,Bilbao,999,4,999
1303,Teclado Mecánico,4,2025-07-12 07:49:00,Bilbao,120,7,480
1304,Google Pixel 8,3,2025-04-10 13:00:00,Barcelona,699,4,2097
1305,AirPods Pro,1,2025-09-09 21:57:00,Sevilla,249,9,249
1306,iPhone 15,3,2025-01-11 08:51:00,Sevilla,999,1,2997
1307,MacBook Pro,4,2025-01-02 17:32:00,Bilbao,1499,1,5996
1308,Google Pixel 8,1,2025-07-01 05:49:00,Bilbao,699,7,699
1309,Google Pixel 8,3,2025-05-01 01:40:00,Barcelona,699,5,2097
1310,Cargador USB-C,3,2025-03-27 12:18:00,Madrid,25,3,75
1311,AirPods Pro,2,2025-07-25 02:53:00,Barcelona,249,7,498
1312,AirPods Pro,2,2025-05-29 07:10:00,Madrid,249,5,498
1313,iPhone 15,1,2025-04-15 03:54:00,Sevilla,999,4,999
1314,iPhone 15,1,2025-01-03 01:26:00,Sevilla,999,1,999
1315,iPhone 15,3,2025-02-08 01:32:00,Madrid,999,2,2997
1316,Teclado Mecánico,1,2025-11-19 06:23:00,Barcelona,120,11,120
1317,AirPods Pro,4,2025-02-02 07:28:00,Bilbao,249,2,996
1318,Google Pixel 8,4,2025-12-16 23:16:00,Bilbao,699,12,2796
1319,iPhone 15,1,2025-11-18 07:42:00,Sevilla,999,11,999
1320,MacBook Pro,2,2025-08-23 08:34:00,Bilbao,1499,8,2998
1321,Teclado Mecánico,2,2025-12-17 01:29:00,Madrid,120,12,240
1322,MacBook Pro,1,2025-01-06 22:21:00,Valencia,1499,1,1499
1323,Cargador USB-C,4,2025-08-02 08:56:00,Bilbao,25,8,100
1324,MacBook Pro,1,2025-05-27 03:30:00,Barcelona,1499,5,1499
1325,Teclado Mecánico,4,2025-08-29 01:33:00,Sevilla,120,8,480
1326,Monitor 4K,3,2025-06-02 17:57:00,Valencia,399,6,1197
1328,Google Pixel 8,1,2025-05-21 02:18:00,Sevilla,699,5,699
1329,AirPods Pro,2,2025-03-19 03:39:00,Bilbao,249,3,498
1330,AirPods Pro,4,2025-07-13 00:04:00,Barcelona,249,7,996
1331,Cargador USB-C,2,2025-10-04 13:49:00,Bilbao,25,10,50
1332,Google Pixel 8,4,2025-06-28 11:14:00,Barcelona,699,6,2796
1333,Monitor 4K,2,2025-01-20 11:20:00,Barcelona,399,1,798
1336,Cargador USB-C,2,2025-08-27 16:41:00,Barcelona,25,8,50
1338,Monitor 4K,2,2025-11-23 06:39:00,Sevilla,399,11,798
1339,Monitor 4K,4,2025-04-15 03:10:00,Bilbao,399,4,1596
1340,Cargador USB-C,1,2025-01-12 11:29:00,Barcelona,25,1,25
1341,Teclado Mecánico,1,2025-02-13 23:27:00,Barcelona,120,2,120
1343,iPhone 15,2,2025-05-04 18:32:00,Bilbao,999,5,1998
1344,Monitor 4K,2,2025-01-06 20:23:00,Bilbao,399,1,798
1345,Monitor 4K,3,2025-03-02 15:25:00,Barcelona,399,3,1197
1346,MacBook Pro,1,2025-08-16 19:52:00,Sevilla,1499,8,1499
1348,Google Pixel 8,1,2025-02-18 00:24:00,Barcelona,699,2,699
1349,Monitor 4K,2,2025-04-15 07:30:00,Bilbao,399,4,798
1350,iPhone 15,2,2025-11-23 21:44:00,Sevilla,999,11,1998
1351,AirPods Pro,1,2025-09-16 07:24:00,Sevilla,249,9,249
1352,AirPods Pro,2,2025-11-10 07:17:00,Valencia,249,11,498
1353,AirPods Pro,4,2025-10-13 20:46:00,Valencia,249,10,996
1355,Cargador USB-C,1,2025-01-04 07:49:00,Sevilla,25,1,25
1357,AirPods Pro,4,2025-11-26 01:46:00,Barcelona,249,11,996
1358,AirPods Pro,2,2025-08-03 21:09:00,Valencia,249,8,498
1359,Monitor 4K,2,2025-01-21 04:58:00,Barcelona,399,1,798
1360,MacBook Pro,2,2025-12-28 18:02:00,Valencia,1499,12,2998
1361,Cargador USB-C,2,2025-07-09 07:39:00,Madrid,25,7,50
1362,AirPods Pro,1,2025-02-15 06:21:00,Valencia,249,2,249
1363,MacBook Pro,1,2025-03-05 12:19:00,Bilbao,1499,3,1499
1365,MacBook Pro,2,2025-07-17 10:45:00,Barcelona,1499,7,2998
1366,AirPods Pro,3,2025-06-30 09:46:00,Bilbao,249,6,747
1367,Cargador USB-C,2,2025-08-22 12:56:00,Valencia,25,8,50
1369,iPhone 15,4,2025-07-09 07:35:00,Barcelona,999,7,3996
1370,MacBook Pro,3,2025-02-14 13:39:00,Sevilla,1499,2,4497
1372,iPhone 15,1,2025-02-19 13:39:00,Madrid,999,2,999
1373,Google Pixel 8,4,2025-11-10 16:14:00,Barcelona,699,11,2796
1374,iPhone 15,4,2025-01-30 05:03:00,Sevilla,999,1,3996
1375,Google Pixel 8,3,2025-11-04 10:40:00,Bilbao,699,11,2097
1376,Teclado Mecánico,2,2025-12-01 10:08:00,Bilbao,120,12,240
1377,Teclado Mecánico,2,2025-04-24 15:13:00,Sevilla,120,4,240
1378,Google Pixel 8,4,2025-06-12 17:33:00,Bilbao,699,6,2796
1379,Google Pixel 8,4,2025-03-31 02:15:00,Sevilla,699,3,2796
1380,Monitor 4K,4,2025-03-17 09:35:00,Barcelona,399,3,1596
1381,AirPods Pro,4,2025-09-05 03:21:00,Barcelona,249,9,996
1383,Teclado Mecánico,3,2025-11-16 02:52:00,Madrid,120,11,360
1384,iPhone 15,4,2025-06-14 19:14:00,Barcelona,999,6,3996
1385,Cargador USB-C,2,2025-10-18 14:01:00,Barcelona,25,10,50
1387,iPhone 15,1,2025-01-06 04:55:00,Valencia,999,1,999
