ID_Orden,Producto,Cantidad,Fecha_Compra,Direccion,Precio_Unitario
1111,Cargador USB-C,4,2025-10-16 00:52:00,Sevilla,25
1112,AirPods Pro,1,2025-06-26 11:01:00,Barcelona,249
1113,Google Pixel 8,3,2025-04-08 01:13:00,Sevilla,699
1114,Teclado Mecánico,3,2025-09-14 17:17:00,Barcelona,120
1115,Cargador USB-C,3,2025-03-10 12:27:00,Valencia,25
1116,Cargador USB-C,1,2025-03-31 06:06:00,Barcelona,25
1117,AirPods Pro,1,2025-05-05 15:00:00,Valencia,249
1118,MacBook Pro,3,2025-12-28 00:18:00,Valencia,1499
1119,Monitor 4K,3,2025-11-28 16:59:00,Sevilla,399
1120,Google Pixel 8,3,2025-09-13 20:31:00,Bilbao,699
1121,Cargador USB-C,4,2025-01-01 14:06:00,Madrid,25
1122,AirPods Pro,4,2025-04-04 16:14:00,Bilbao,249
1123,iPhone 15,3,2025-06-22 00:47:00,Barcelona,999
1124,Monitor 4K,2,2025-03-12 17:59:00,Barcelona,399
1125,Teclado Mecánico,3,2025-05-17 21:17:00,Madrid,120
1126,AirPods Pro,4,2025-01-22 17:51:00,Valencia,249
1127,AirPods Pro,1,2025-04-02 22:18:00,Sevilla,249
1128,AirPods Pro,3,2025-05-11 04:06:00,Sevilla,249
1129,Teclado Mecánico,2,2025-04-10 23:48:00,Bilbao,120
1130,AirPods Pro,1,2025-06-10 04:02:00,Valencia,249
1131,Google Pixel 8,2,2025-11-05 18:13:00,Madrid,699
1132,AirPods Pro,2,2025-11-08 23:59:00,Bilbao,249
1133,Teclado Mecánico,2,2025-07-03 15:55:00,Sevilla,120
1134,AirPods Pro,2,2025-12-26 02:07:00,Madrid,249
1135,iPhone 15,2,2025-06-23 04:26:00,Sevilla,999
1136,MacBook Pro,4,2025-11-15 07:29:00,Valencia,1499
1137,MacBook Pro,3,2025-09-16 08:06:00,Valencia,1499
1138,Teclado Mecánico,3,2025-08-30 21:12:00,Sevilla,120
1139,MacBook Pro,1,2025-10-06 15:48:00,Bilbao,1499
1140,MacBook Pro,4,2025-01-16 06:58:00,Valencia,1499
1141,Google Pixel 8,4,2025-06-16 17:13:00,Valencia,699
1142,Monitor 4K,3,2025-01-09 14:09:00,Sevilla,399
1143,Google Pixel 8,3,2025-06-05 19:00:00,Madrid,699
1144,AirPods Pro,1,2025-04-12 09:53:00,Madrid,249
1145,MacBook Pro,4,2025-07-01 20:13:00,Bilbao,1499
1146,Monitor 4K,4,2025-08-02 09:18:00,Sevilla,399
1147,Teclado Mecánico,3,2025-05-20 06:53:00,Barcelona,120
1148,,2,2025-10-14 07:25:00,Valencia,120
1149,,4,2025-06-24 15:13:00,Madrid,120
1150,MacBook Pro,1,2025-03-25 08:52:00,Sevilla,1499
1151,AirPods Pro,2,2025-04-28 10:12:00,Sevilla,249
1152,AirPods Pro,1,2025-05-18 17:15:00,Barcelona,249
1153,Google Pixel 8,3,2025-07-06 19:36:00,Valencia,699
1154,Monitor 4K,4,2025-01-08 15:30:00,Valencia,399
1155,Teclado Mecánico,4,2025-11-21 04:42:00,Sevilla,120
1156,MacBook Pro,1,2025-04-19 08:50:00,Bilbao,1499
1157,Cargador USB-C,4,2025-06-17 21:26:00,Sevilla,25
1158,Teclado Mecánico,3,2025-05-07 06:31:00,Bilbao,120
1159,Monitor 4K,3,2025-12-17 01:36:00,Barcelona,399
1160,Teclado Mecánico,1,2025-02-12 03:36:00,Valencia,120
1161,MacBook Pro,3,2025-03-30 00:11:00,Valencia,1499
1162,MacBook Pro,1,2025-01-10 01:15:00,Sevilla,1499
1163,Monitor 4K,1,2025-12-02 11:08:00,Valencia,399
1164,Cargador USB-C,3,2025-03-28 19:18:00,Madrid,25
1165,Cargador USB-C,2,2025-01-08 14:24:00,Valencia,25
1166,MacBook Pro,2,2025-06-17 06:08:00,Valencia,1499
1167,Teclado Mecánico,1,2025-02-16 13:18:00,Madrid,120
1168,AirPods Pro,2,2025-06-19 16:06:00,Valencia,249
1169,Monitor 4K,2,2025-02-07 18:03:00,Barcelona,399
1170,Teclado Mecánico,2,2025-03-16 12:23:00,Barcelona,120
1171,iPhone 15,4,2025-04-15 21:26:00,Madrid,999
1172,Teclado Mecánico,1,2025-09-29 15:49:00,Barcelona,120
1173,AirPods Pro,1,2025-06-29 07:54:00,Barcelona,249
1174,AirPods Pro,2,2025-03-08 21:53:00,Valencia,249
1175,AirPods Pro,1,2025-11-06 10:30:00,Bilbao,249
1176,Teclado Mecánico,2,2025-12-08 19:34:00,Barcelona,120
1177,Monitor 4K,3,2025-03-31 11:15:00,Sevilla,399
1178,Monitor 4K,3,2025-01-17 05:05:00,Bilbao,399
1179,Google Pixel 8,2,2025-09-21 19:33:00,Barcelona,699
1180,iPhone 15,2,2025-05-24 16:21:00,Barcelona,999
1181,Cargador USB-C,1,2025-05-23 00:55:00,Bilbao,25
1182,Google Pixel 8,3,2025-08-24 03:06:00,Valencia,699
1183,Cargador USB-C,3,2025-08-07 10:47:00,Sevilla,25
1184,Monitor 4K,3,2025-09-02 06:08:00,Madrid,399
1185,Cargador USB-C,3,2025-04-24 11:05:00,Sevilla,25
1186,Teclado Mecánico,4,2025-11-18 07:03:00,Bilbao,120
1187,Teclado Mecánico,3,2025-09-27 17:21:00,Valencia,120
1188,Teclado Mecánico,4,2025-03-23 11:17:00,Barcelona,120
1189,Cargador USB-C,4,2025-01-21 15:41:00,Valencia,25
1190,MacBook Pro,4,2025-12-05 09:49:00,Valencia,1499
1191,AirPods Pro,4,2025-08-11 21:34:00,Valencia,249
1192,Google Pixel 8,2,2025-03-05 02:18:00,Sevilla,699
1193,Teclado Mecánico,2,2025-03-04 01:57:00,Bilbao,120
1194,AirPods Pro,2,2025-05-13 01:48:00,Sevilla,249
1195,Monitor 4K,4,2025-03-30 08:21:00,Madrid,399
1196,AirPods Pro,2,2025-09-17 13:34:00,Madrid,249
1197,,4,2025-04-07 18:47:00,Madrid,399
1198,,1,2025-06-22 21:32:00,Madrid,699
1199,,3,2025-03-27 13:07:00,Bilbao,120
1200,AirPods Pro,4,2025-09-12 05:02:00,Madrid,249
1201,Monitor 4K,3,2025-02-09 01:58:00,Barcelona,399
1202,Cargador USB-C,2,2025-11-01 12:04:00,Madrid,25
1203,Google Pixel 8,2,2025-04-21 04:02:00,Madrid,699
1204,Monitor 4K,3,2025-05-19 18:55:00,Barcelona,399
1205,iPhone 15,4,2025-05-09 13:11:00,Barcelona,999
1206,Teclado Mecánico,3,2025-08-02 11:43:00,Bilbao,120
1207,Monitor 4K,1,2025-07-25 15:30:00,Sevilla,399
1208,Monitor 4K,3,2025-11-22 16:11:00,Sevilla,399
1209,Cargador USB-C,3,2025-09-27 22:30:00,Barcelona,25
1210,AirPods Pro,1,2025-09-28 20:43:00,Sevilla,249
1211,Monitor 4K,3,2025-09-12 09:40:00,Madrid,399
1212,Google Pixel 8,1,2025-01-19 13:46:00,Madrid,699
1213,,1,2025-10-18 21:21:00,Sevilla,1499
1214,Teclado Mecánico,1,2025-08-01 20:11:00,Sevilla,120
1215,MacBook Pro,3,2025-10-22 09:16:00,Bilbao,1499
1216,iPhone 15,4,2025-01-11 00:43:00,Bilbao,999
1217,Google Pixel 8,4,2025-01-27 18:53:00,Valencia,699
1218,Teclado Mecánico,3,2025-07-16 13:40:00,Barcelona,120
1219,Monitor 4K,1,2025-02-14 15:39:00,Valencia,399
1220,MacBook Pro,4,2025-01-05 19:55:00,Madrid,1499
1221,Cargador USB-C,1,2025-05-11 15:34:00,Bilbao,25
1222,,3,2025-07-11 17:39:00,Valencia,25
1223,AirPods Pro,3,2025-06-23 11:09:00,Sevilla,249
1224,Teclado Mecánico,4,2025-04-25 23:09:00,Bilbao,120
1225,Monitor 4K,3,2025-11-03 09:29:00,Madrid,399
1226,Monitor 4K,3,2025-03-10 00:29:00,Sevilla,399
1227,MacBook Pro,2,2025-11-05 04:06:00,Barcelona,1499
1228,iPhone 15,2,2025-07-16 00:16:00,Bilbao,999
1229,Teclado Mecánico,2,2025-06-20 04:13:00,Valencia,120
1230,Google Pixel 8,1,2025-01-11 06:54:00,Barcelona,699
1231,iPhone 15,4,2025-01-05 05:31:00,Barcelona,999
1232,Google Pixel 8,4,2025-07-20 14:58:00,Bilbao,699
1233,Teclado Mecánico,3,2025-09-16 06:03:00,Madrid,120
1234,Teclado Mecánico,3,2025-10-04 04:24:00,Madrid,120
1235,AirPods Pro,3,2025-09-03 11:32:00,Sevilla,249
1236,MacBook Pro,3,2025-04-05 03:01:00,Bilbao,1499
1237,Monitor 4K,2,2025-10-26 08:07:00,Bilbao,399
1238,AirPods Pro,2,2025-09-10 21:43:00,Sevilla,249
1239,AirPods Pro,4,2025-01-19 19:44:00,Valencia,249
1240,Monitor 4K,3,2025-09-28 12:05:00,Barcelona,399
1241,MacBook Pro,3,2025-10-10 01:05:00,Barcelona,1499
1242,MacBook Pro,4,2025-04-27 23:09:00,Madrid,1499
1243,Cargador USB-C,1,2025-05-25 00:51:00,Barcelona,25
1244,AirPods Pro,2,2025-03-15 11:32:00,Valencia,249
1245,Teclado Mecánico,1,2025-11-08 16:07:00,Sevilla,120
1246,Teclado Mecánico,3,2025-09-30 14:52:00,Barcelona,120
1247,Google Pixel 8,2,2025-04-09 22:58:00,Sevilla,699
1248,MacBook Pro,2,2025-10-27 16:46:00,Barcelona,1499
1249,iPhone 15,3,2025-01-03 08:30:00,Barcelona,999
1250,Teclado Mecánico,3,2025-04-11 20:43:00,Sevilla,120
1251,Google Pixel 8,3,2025-03-18 20:29:00,Sevilla,699
1252,AirPods Pro,2,2025-06-13 01:26:00,Barcelona,249
1253,MacBook Pro,4,2025-04-04 19:33:00,Barcelona,1499
1254,Teclado Mecánico,2,2025-03-09 16:23:00,Bilbao,120
1255,Monitor 4K,4,2025-05-03 18:53:00,Bilbao,399
1256,Monitor 4K,1,2025-05-01 04:06:00,Sevilla,399
1257,MacBook Pro,3,2025-11-23 18:03:00,Valencia,1499
1258,,2,2025-07-22 12:42:00,Bilbao,699
1259,Teclado Mecánico,1,2025-11-20 17:32:00,Bilbao,120
1260,Teclado Mecánico,4,2025-03-30 13:08:00,Madrid,120
1261,Teclado Mecánico,3,2025-05-16 21:11:00,Barcelona,120
1262,Cargador USB-C,2,2025-07-10 02:37:00,Bilbao,25
1263,Cargador USB-C,3,2025-10-04 14:51:00,Bilbao,25
1264,Teclado Mecánico,2,2025-12-21 18:51:00,Sevilla,120
1265,Teclado Mecánico,2,2025-07-16 05:24:00,Bilbao,120
1266,Monitor 4K,4,2025-03-12 14:00:00,Barcelona,399
1267,Monitor 4K,1,2025-05-12 01:41:00,Bilbao,399
1268,Cargador USB-C,1,2025-02-24 11:23:00,Bilbao,25
1269,Teclado Mecánico,3,2025-10-02 05:37:00,Madrid,120
1270,AirPods Pro,1,2025-06-11 14:41:00,Sevilla,249
1271,MacBook Pro,4,2025-04-15 08:37:00,Valencia,1499
1272,Google Pixel 8,4,2025-06-30 15:48:00,Valencia,699
1273,Cargador USB-C,4,2025-06-05 03:03:00,Madrid,25
1274,Teclado Mecánico,2,2025-09-06 03:29:00,Valencia,120
1275,Teclado Mecánico,1,2025-10-08 09:24:00,Sevilla,120
1276,iPhone 15,2,2025-08-02 04:53:00,Sevilla,999
1277,Monitor 4K,2,2025-05-20 09:53:00,Valencia,399
1278,MacBook Pro,3,2025-05-02 01:10:00,Valencia,1499
1279,Monitor 4K,1,2025-10-13 15:22:00,Valencia,399
1280,,3,2025-05-27 23:53:00,Bilbao,1499
1281,AirPods Pro,3,2025-09-17 09:29:00,Bilbao,249
1282,AirPods Pro,1,2025-05-26 00:29:00,Madrid,249
1283,Teclado Mecánico,2,2025-04-02 18:50:00,Sevilla,120
1284,Monitor 4K,4,2025-02-21 14:02:00,Valencia,399
1285,Google Pixel 8,1,2025-08-10 13:34:00,Valencia,699
1286,Cargador USB-C,4,2025-04-01 18:18:00,Sevilla,25
1287,Google Pixel 8,1,2025-04-27 10:12:00,Barcelona,699
1288,Google Pixel 8,1,2025-12-24 05:33:00,Valencia,699
1289,,3,2025-01-07 09:32:00,Barcelona,120
1290,MacBook Pro,4,2025-05-25 19:12:00,Madrid,1499
1291,iPhone 15,2,2025-02-17 06:34:00,Sevilla,999
1292,Monitor 4K,1,2025-03-27 02:56:00,Madrid,399
1293,Monitor 4K,1,2025-02-18 20:42:00,Valencia,399
1294,Cargador USB-C,1,2025-08-15 21:03:00,Barcelona,25
1295,Google Pixel 8,2,2025-09-20 05:25:00,Valencia,699
1296,MacBook Pro,2,2025-06-26 03:33:00,Sevilla,1499
1297,Teclado Mecánico,3,2025-03-06 18:52:00,Madrid,120
1298,Monitor 4K,2,2025-12-14 02:19:00,Bilbao,399
1299,Cargador USB-C,2,2025-10-20 20:49:00,Bilbao,25
1300,AirPods Pro,3,2025-10-27 14:17:00,Valencia,249
1301,AirPods Pro,1,2025-03-06 09:21:00,Barcelona,249
1302,iPhone 15,1,2025-04-04 08:12:00,Bilbao,999
1303,Teclado Mecánico,4,2025-07-12 07:49:00,Bilbao,120
1304,Google Pixel 8,3,2025-04-10 13:00:00,Barcelona,699
1305,AirPods Pro,1,2025-09-09 21:57:00,Sevilla,249
1306,iPhone 15,3,2025-01-11 08:51:00,Sevilla,999
1307,MacBook Pro,4,2025-01-02 17:32:00,Bilbao,1499
1308,Google Pixel 8,1,2025-07-01 05:49:00,Bilbao,699
1309,Google Pixel 8,3,2025-05-01 01:40:00,Barcelona,699
1310,Cargador USB-C,3,2025-03-27 12:18:00,Madrid,25
1311,AirPods Pro,2,2025-07-25 02:53:00,Barcelona,249
1312,AirPods Pro,2,2025-05-29 07:10:00,Madrid,249
1313,iPhone 15,1,2025-04-15 03:54:00,Sevilla,999
1314,iPhone 15,1,2025-01-03 01:26:00,Sevilla,999
1315,iPhone 15,3,2025-02-08 01:32:00,Madrid,999
1316,Teclado Mecánico,1,2025-11-19 06:23:00,Barcelona,120
1317,AirPods Pro,4,2025-02-02 07:28:00,Bilbao,249
1318,Google Pixel 8,4,2025-12-16 23:16:00,Bilbao,699
1319,iPhone 15,1,2025-11-18 07:42:00,Sevilla,999
1320,MacBook Pro,2,2025-08-23 08:34:00,Bilbao,1499
1321,Teclado Mecánico,2,2025-12-17 01:29:00,Madrid,120
1322,MacBook Pro,1,2025-01-06 22:21:00,Valencia,1499
1323,Cargador USB-C,4,2025-08-02 08:56:00,Bilbao,25
1324,MacBook Pro,1,2025-05-27 03:30:00,Barcelona,1499
1325,Teclado Mecánico,4,2025-08-29 01:33:00,Sevilla,120
1326,Monitor 4K,3,2025-06-02 17:57:00,Valencia,399
1327,,3,2025-08-02 17:08:00,Valencia,699
1328,Google Pixel 8,1,2025-05-21 02:18:00,Sevilla,699
1329,AirPods Pro,2,2025-03-19 03:39:00,Bilbao,249
1330,AirPods Pro,4,2025-07-13 00:04:00,Barcelona,249
1331,Cargador USB-C,2,2025-10-04 13:49:00,Bilbao,25
1332,Google Pixel 8,4,2025-06-28 11:14:00,Barcelona,699
1333,Monitor 4K,2,2025-01-20 11:20:00,Barcelona,399
1334,,1,2025-10-07 15:24:00,Madrid,25
1335,,2,2025-05-12 19:38:00,Barcelona,249
1336,Cargador USB-C,2,2025-08-27 16:41:00,Barcelona,25
1337,,3,2025-08-30 08:09:00,Madrid,249
1338,Monitor 4K,2,2025-11-23 06:39:00,Sevilla,399
1339,Monitor 4K,4,2025-04-15 03:10:00,Bilbao,399
1340,Cargador USB-C,1,2025-01-12 11:29:00,Barcelona,25
1341,Teclado Mecánico,1,2025-02-13 23:27:00,Barcelona,120
1342,,2,2025-01-03 23:26:00,Bilbao,25
1343,iPhone 15,2,2025-05-04 18:32:00,Bilbao,999
1344,Monitor 4K,2,2025-01-06 20:23:00,Bilbao,399
1345,Monitor 4K,3,2025-03-02 15:25:00,Barcelona,399
1346,MacBook Pro,1,2025-08-16 19:52:00,Sevilla,1499
1347,,4,2025-08-02 02:19:00,Barcelona,1499
1348,Google Pixel 8,1,2025-02-18 00:24:00,Barcelona,699
1349,Monitor 4K,2,2025-04-15 07:30:00,Bilbao,399
1350,iPhone 15,2,2025-11-23 21:44:00,Sevilla,999
1351,AirPods Pro,1,2025-09-16 07:24:00,Sevilla,249
1352,AirPods Pro,2,2025-11-10 07:17:00,Valencia,249
1353,AirPods Pro,4,2025-10-13 20:46:00,Valencia,249
1354,,2,2025-03-26 04:29:00,Sevilla,699
1355,Cargador USB-C,1,2025-01-04 07:49:00,Sevilla,25
1356,,3,2025-12-11 17:18:00,Bilbao,120
1357,AirPods Pro,4,2025-11-26 01:46:00,Barcelona,249
1358,AirPods Pro,2,2025-08-03 21:09:00,Valencia,249
1359,Monitor 4K,2,2025-01-21 04:58:00,Barcelona,399
1360,MacBook Pro,2,2025-12-28 18:02:00,Valencia,1499
1361,Cargador USB-C,2,2025-07-09 07:39:00,Madrid,25
1362,AirPods Pro,1,2025-02-15 06:21:00,Valencia,249
1363,MacBook Pro,1,2025-03-05 12:19:00,Bilbao,1499
1364,,2,2025-04-04 08:52:00,Sevilla,699
1365,MacBook Pro,2,2025-07-17 10:45:00,Barcelona,1499
1366,AirPods Pro,3,2025-06-30 09:46:00,Bilbao,249
1367,Cargador USB-C,2,2025-08-22 12:56:00,Valencia,25
1368,,4,2025-03-18 16:09:00,Bilbao,1499
1369,iPhone 15,4,2025-07-09 07:35:00,Barcelona,999
1370,MacBook Pro,3,2025-02-14 13:39:00,Sevilla,1499
1371,,3,2025-12-14 23:56:00,Valencia,999
1372,iPhone 15,1,2025-02-19 13:39:00,Madrid,999
1373,Google Pixel 8,4,2025-11-10 16:14:00,Barcelona,699
1374,iPhone 15,4,2025-01-30 05:03:00,Sevilla,999
1375,Google Pixel 8,3,2025-11-04 10:40:00,Bilbao,699
1376,Teclado Mecánico,2,2025-12-01 10:08:00,Bilbao,120
1377,Teclado Mecánico,2,2025-04-24 15:13:00,Sevilla,120
1378,Google Pixel 8,4,2025-06-12 17:33:00,Bilbao,699
1379,Google Pixel 8,4,2025-03-31 02:15:00,Sevilla,699
1380,Monitor 4K,4,2025-03-17 09:35:00,Barcelona,399
1381,AirPods Pro,4,2025-09-05 03:21:00,Barcelona,249
1382,,4,2025-01-27 05:36:00,Valencia,249
1383,Teclado Mecánico,3,2025-11-16 02:52:00,Madrid,120
1384,iPhone 15,4,2025-06-14 19:14:00,Barcelona,999
1385,Cargador USB-C,2,2025-10-18 14:01:00,Barcelona,25
1386,,2,2025-02-08 20:32:00,Sevilla,1499
1387,iPhone 15,1,2025-01-06 04:55:00,Valencia,999
1388,Cargador USB-C,1,2025-10-28 07:15:00,Barcelona,25
1389,iPhone 15,4,2025-04-11 23:46:00,Bilbao,999
1390,Cargador USB-C,1,2025-10-15 07:54:00,Valencia,25
1391,Monitor 4K,2,2025-02-27 12:22:00,Valencia,399
1392,Teclado Mecánico,2,2025-02-19 14:54:00,Valencia,120
1393,iPhone 15,2,2025-05-30 12:01:00,Bilbao,999
1394,iPhone 15,3,2025-05-11 07:43:00,Barcelona,999
1395,iPhone 15,2,2025-04-08 13:01:00,Madrid,999
1396,Teclado Mecánico,4,2025-10-30 21:50:00,Bilbao,120
1397,AirPods Pro,2,2025-05-23 13:44:00,Madrid,249
1398,Google Pixel 8,4,2025-08-08 03:19:00,Barcelona,699
1399,iPhone 15,4,2025-09-21 05:09:00,Valencia,999
1400,Google Pixel 8,4,2025-04-23 12:58:00,Barcelona,699
1401,Monitor 4K,3,2025-01-13 08:51:00,Madrid,399
1402,Cargador USB-C,1,2025-04-27 18:08:00,Barcelona,25
1403,AirPods Pro,4,2025-12-10 18:32:00,Barcelona,249
1404,AirPods Pro,1,2025-10-31 21:27:00,Valencia,249
1405,Google Pixel 8,2,2025-06-13 22:41:00,Bilbao,699
1406,Google Pixel 8,3,2025-04-23 01:10:00,Barcelona,699
1407,AirPods Pro,2,2025-11-16 09:44:00,Madrid,249
1408,iPhone 15,4,2025-07-12 18:44:00,Madrid,999
1409,AirPods Pro,3,2025-09-17 01:15:00,Sevilla,249
1410,,4,2025-03-12 18:07:00,Valencia,1499
1411,Google Pixel 8,3,2025-11-08 14:02:00,Madrid,699
