id_venta,fecha,producto,cliente_id,costo_unitario,cantidad,metodo_pago,pais,satisfaccion,precio_venta,ingreso_total,utilidad,tendencia_utilidad
21,2024-01-01 03:20:00,Headphones,2635,690.4067738865216,1,Transfer,UK,3,897.5288060524781,897.5288060524781,207.1220321659565,640.2092080937751
22,2024-01-01 03:30:00,Smartwatch,1773,117.05582736318327,7,Transfer,Canada,4,152.17257557213824,1065.2080290049678,245.81723746268494,640.2090937714682
23,2024-01-01 03:40:00,Headphones,1333,744.559459761303,5,Credit Card,UK,2,967.9272976896939,4839.636488448469,1116.8391896419544,640.2089794491613
24,2024-01-01 03:50:00,Tablet,2813,614.3948335679697,9,Credit Card,Germany,1,798.7132836383606,7188.419552745246,1658.8660506335182,640.2088651268544
25,2024-01-01 04:00:00,Tablet,1140,272.47643951622405,5,Transfer,Estonia,2,354.21937137109126,1771.0968568554563,408.7146592743361,640.2087508045475
26,2024-01-01 04:10:00,Headphones,513,112.02688837176137,9,Credit Card,Germany,5,145.6349548832898,1310.7145939496081,302.4725986037557,640.2086364822406
27,2024-01-01 04:20:00,Smartphone,1818,798.8269844965216,6,Crypto,USA,5,1038.4750798454781,6230.850479072869,1437.8885720937396,640.2085221599338
28,2024-01-01 04:30:00,Headphones,2670,765.7218525255433,3,PayPal,Canada,1,995.4384082832064,2986.315224849619,689.1496672729891,640.208407837627
29,2024-01-01 04:40:00,Laptop,3381,198.9462797969051,8,Crypto,Germany,5,258.6301637359766,2069.041309887813,477.4710715125723,640.2082935153201
30,2024-01-01 04:50:00,Headphones,3052,123.35802098504682,4,Transfer,Mexico,2,160.36542728056088,641.4617091222435,148.02962518205624,640.2081791930132
31,2024-01-01 05:00:00,Laptop,782,238.83013840998504,5,Credit Card,Canada,1,310.47917993298057,1552.3958996649028,358.2452076149775,640.2080648707063
32,2024-01-01 05:10:00,Headphones,3630,51.42380566076283,8,PayPal,UK,4,66.85094735899169,534.8075788719335,123.41713358583087,640.2079505483994
33,2024-01-01 05:20:00,Smartwatch,1454,115.18379192781777,3,Transfer,Estonia,3,149.7389295061631,449.21678851848924,103.66541273503594,640.2078362260925
34,2024-01-01 05:30:00,Laptop,623,534.9503747200364,2,Credit Card,Mexico,5,695.4354871360473,1390.8709742720946,320.9702248320218,640.2077219037856
35,2024-01-01 05:40:00,Headphones,569,254.07497496643353,8,Transfer,UK,3,330.2974674563636,2642.379739650909,609.7799399194407,640.2076075814787
36,2024-01-01 05:50:00,Laptop,1769,621.9402191670071,4,Transfer,Mexico,5,808.5222849171092,3234.089139668437,746.3282630004087,640.2074932591718
37,2024-01-01 06:00:00,Smartwatch,3717,632.7156528861082,7,Transfer,Germany,5,822.5303487519407,5757.712441263585,1328.7028710608274,640.2073789368649
38,2024-01-01 06:10:00,Laptop,1705,321.7112914344963,5,PayPal,Canada,4,418.22467886484515,2091.123394324226,482.5669371517447,640.207264614558
39,2024-01-01 06:20:00,Tablet,1014,361.7508816402762,3,Crypto,Estonia,3,470.2761461323591,1410.8284383970772,325.5757934762487,640.2071502922511
40,2024-01-01 06:30:00,Headphones,4453,593.2499821133782,9,Credit Card,Estonia,5,771.2249767473917,6941.024790726525,1601.774951706121,640.2070359699442
41,2024-01-01 06:40:00,Headphones,564,568.2887936689377,2,Transfer,Canada,1,738.7754317696191,1477.5508635392382,340.97327620136275,640.2069216476373
42,2024-01-01 06:50:00,Smartwatch,1074,782.462455249751,8,Transfer,Canada,5,1017.2011918246764,8137.609534597411,1877.909892599403,640.2068073253304
43,2024-01-01 07:00:00,Laptop,3739,614.1968325708042,8,PayPal,UK,3,798.4558823420455,6387.647058736364,1474.0723981699302,640.2066930030235
44,2024-01-01 07:10:00,Headphones,1032,113.06384227724399,6,Transfer,USA,3,146.9829949604172,881.8979697625032,203.51491609903928,640.2065786807166
45,2024-01-01 07:20:00,Tablet,2633,455.9656805573003,1,Credit Card,Germany,2,592.7553847244903,592.7553847244903,136.78970416719005,640.2064643584097
46,2024-01-01 07:30:00,Smartwatch,238,90.3595461079077,1,Crypto,UK,1,117.46740994028002,117.46740994028002,27.107863832372317,640.2063500361029
47,2024-01-01 07:40:00,Smartphone,3276,359.3201391998412,3,PayPal,Canada,3,467.1161809597936,1401.3485428793808,323.38812527985715,640.206235713796
48,2024-01-01 07:50:00,Tablet,2068,154.19953349827625,2,Crypto,Mexico,4,200.45939354775913,400.91878709551827,92.51972009896576,640.2061213914891
49,2024-01-01 08:00:00,Smartwatch,1555,334.764619104367,7,Credit Card,Canada,5,435.1940048356771,3046.3580338497395,703.0057001191703,640.2060070691822
50,2024-01-01 08:10:00,Tablet,3541,711.049081839873,3,Credit Card,Germany,4,924.3638063918349,2773.0914191755046,639.9441736558856,640.2058927468753
51,2024-01-01 08:20:00,Laptop,4299,710.924778781643,5,Crypto,UK,2,924.2022124161359,4621.01106208068,1066.387168172465,640.2057784245684
52,2024-01-01 08:30:00,Smartwatch,4877,400.3440651448575,9,Credit Card,USA,1,520.4472846883148,4684.025562194833,1080.9289758911154,640.2056641022615
53,2024-01-01 08:40:00,Laptop,2125,768.2893922464131,7,Crypto,USA,5,998.776209920337,6991.433469442359,1613.407723717467,640.2055497799546
54,2024-01-01 08:50:00,Smartwatch,1794,663.3266604242853,4,Transfer,Germany,1,862.3246585515709,3449.2986342062836,795.9919925091426,640.2054354576477
55,2024-01-01 09:00:00,Headphones,2916,285.9197872434021,8,PayPal,Mexico,1,371.6957234164227,2973.5657873313817,686.207489384165,640.2053211353408
56,2024-01-01 09:10:00,Smartphone,2119,402.13708959302755,8,PayPal,Germany,2,522.7782164709358,4182.225731767487,965.1290150232662,640.2052068130339
57,2024-01-01 09:20:00,Tablet,274,377.4290803301646,6,Credit Card,Estonia,1,490.65780442921397,2943.946826575284,679.3723445942965,640.205092490727
58,2024-01-01 09:30:00,Headphones,970,440.1768485957866,7,PayPal,Estonia,4,572.2299031745226,4005.6093222216587,924.3713820511521,640.2049781684201
59,2024-01-01 09:40:00,Laptop,2272,402.160134346093,2,Credit Card,Germany,5,522.8081746499209,1045.6163492998419,241.29608060765588,640.2048638461132
60,2024-01-01 09:50:00,Smartphone,4857,266.2174235377521,8,Crypto,Canada,4,346.08265059907774,2768.661204792622,638.9218164906051,640.2047495238063
61,2024-01-01 10:00:00,Smartphone,4993,213.3761419919007,9,Crypto,Canada,2,277.3889845894709,2496.5008613052382,576.1155833781318,640.2046352014994
62,2024-01-01 10:10:00,Smartphone,3509,316.0827378816726,6,Transfer,Mexico,3,410.9075592461744,2465.445355477046,568.9489281870106,640.2045208791925
63,2024-01-01 10:20:00,Smartphone,593,421.280421020251,6,Transfer,UK,5,547.6645473263263,3285.987283957958,758.3047578364517,640.2044065568856
64,2024-01-01 10:30:00,Headphones,2025,633.8138304181947,3,Credit Card,Mexico,4,823.9579795436531,2471.8739386309594,570.4324473763754,640.2042922345787
65,2024-01-01 10:40:00,Tablet,4209,710.8039898772025,7,Credit Card,USA,3,924.0451868403633,6468.316307882543,1492.6883787421248,640.2041779122719
66,2024-01-01 10:50:00,Laptop,1285,308.538268789272,6,Credit Card,Estonia,4,401.0997494260536,2406.5984965563216,555.3688838206895,640.204063589965
67,2024-01-01 11:00:00,Laptop,2567,541.1006823647053,6,Credit Card,Estonia,5,703.430887074117,4220.585322444702,973.9812282564699,640.2039492676581
68,2024-01-01 11:10:00,Laptop,473,293.2944070074617,8,Transfer,Germany,4,381.2827291097002,3050.2618328776016,703.906576817908,640.2038349453512
69,2024-01-01 11:20:00,Smartwatch,1872,65.78300818684924,2,PayPal,USA,3,85.51791064290403,171.03582128580805,39.469804912109566,640.2037206230443
70,2024-01-01 11:30:00,Smartphone,4048,797.3505846679716,1,PayPal,UK,3,1036.555760068363,1036.555760068363,239.20517540039145,640.2036063007374
71,2024-01-01 11:40:00,Tablet,2889,78.90635466495638,9,Crypto,Mexico,5,102.5782610644433,923.2043495799896,213.04715759538226,640.2034919784305
72,2024-01-01 11:50:00,Tablet,4580,650.6563886557925,2,Crypto,Estonia,3,845.8533052525303,1691.7066105050606,390.39383319347553,640.2033776561236
73,2024-01-01 12:00:00,Headphones,513,447.53707417981315,8,Crypto,USA,1,581.7981964337571,4654.385571470057,1074.0889780315515,640.2032633338167
74,2024-01-01 12:10:00,Headphones,1857,578.0533200170668,8,Transfer,Germany,4,751.4693160221868,6011.754528177495,1387.3279680409605,640.2031490115098
75,2024-01-01 12:20:00,Laptop,3048,111.56700959954675,1,Crypto,Germany,1,145.03711247941078,145.03711247941078,33.47010287986403,640.2030346892029
76,2024-01-01 12:30:00,Headphones,890,647.9473974161684,4,PayPal,USA,5,842.331616641019,3369.326466564076,777.5368768994022,640.202920366896
77,2024-01-01 12:40:00,Tablet,3298,451.5139908251845,1,PayPal,UK,4,586.9681880727398,586.9681880727398,135.45419724755533,640.2028060445891
78,2024-01-01 12:50:00,Headphones,2909,794.6457491475735,5,Transfer,USA,5,1033.0394738918455,5165.197369459228,1191.9686237213605,640.2026917222822
79,2024-01-01 13:00:00,Smartphone,2453,624.2202352279096,6,Credit Card,UK,5,811.4863057962825,4868.917834777695,1123.5964234102375,640.2025773999753
80,2024-01-01 13:10:00,Tablet,2883,658.5382834870499,8,Transfer,USA,5,856.0997685331648,6848.798148265319,1580.4918803689197,640.2024630776684
81,2024-01-01 13:20:00,Laptop,2381,243.76347676311204,6,Transfer,Mexico,1,316.8925197920457,1901.355118752274,438.77425817360177,640.2023487553615
82,2024-01-01 13:30:00,Headphones,334,230.93948334788132,3,Crypto,Estonia,4,300.22132835224573,900.6639850567371,207.84553501309324,640.2022344330546
83,2024-01-01 13:40:00,Smartwatch,4771,424.70548623088143,7,Credit Card,UK,3,552.1171321001459,3864.8199247010216,891.8815210848516,640.2021201107478
84,2024-01-01 13:50:00,Smartphone,365,560.8794891495606,7,Transfer,Estonia,5,729.1433358944289,5104.0033512610025,1177.8469272140783,640.2020057884409
85,2024-01-01 14:00:00,Tablet,4112,197.0833681911443,8,PayPal,Mexico,1,256.2083786484876,2049.667029187901,473.00008365874646,640.201891466134
86,2024-01-01 14:10:00,Smartwatch,527,659.079761634639,5,Crypto,Germany,5,856.8036901250307,4284.0184506251535,988.6196424519585,640.2017771438271
87,2024-01-01 14:20:00,Tablet,2293,51.3944703289393,6,Transfer,UK,3,66.81281142762109,400.8768685657265,92.5100465920907,640.2016628215202
88,2024-01-01 14:30:00,Tablet,4272,570.4304295675896,1,Transfer,Estonia,1,741.5595584378665,741.5595584378665,171.12912887027687,640.2015484992133
89,2024-01-01 14:40:00,Smartphone,2569,578.7751174003782,4,Credit Card,Mexico,5,752.4076526204917,3009.630610481967,694.5301408804539,640.2014341769064
90,2024-01-01 14:50:00,Tablet,2474,310.7851191921106,6,Transfer,USA,4,404.0206549497438,2424.1239296984627,559.4132145457993,640.2013198545995
91,2024-01-01 15:00:00,Tablet,2273,61.18156406170395,8,Crypto,Mexico,4,79.53603328021514,636.2882662417211,146.83575374808947,640.2012055322926
92,2024-01-01 15:10:00,Smartphone,4822,745.4816014924542,3,Crypto,Mexico,2,969.1260819401905,2907.3782458205715,670.9334413432089,640.2010912099857
93,2024-01-01 15:20:00,Tablet,3778,768.717576767657,4,PayPal,Canada,1,999.332849797954,3997.331399191816,922.4610921211884,640.2009768876788
94,2024-01-01 15:30:00,Laptop,2731,266.28668817096224,4,Crypto,UK,3,346.1726946222509,1384.6907784890036,319.54402580515466,640.200862565372
95,2024-01-01 15:40:00,Smartphone,4598,627.8016098772846,5,PayPal,Germany,4,816.14209284047,4080.71046420235,941.7024148159271,640.200748243065
96,2024-01-01 15:50:00,Tablet,4725,331.86798437320874,6,PayPal,Germany,5,431.42837968517136,2588.570278111028,597.3623718717756,640.2006339207582
97,2024-01-01 16:00:00,Headphones,1535,404.4682211744671,7,PayPal,Canada,2,525.8086875268073,3680.660812687651,849.3832644663812,640.2005195984513
98,2024-01-01 16:10:00,Tablet,1153,267.28041631167036,1,Transfer,Mexico,3,347.4645412051715,347.4645412051715,80.18412489350112,640.2004052761444
99,2024-01-01 16:20:00,Headphones,324,536.5470934030516,7,Crypto,UK,2,697.5112214239671,4882.5785499677695,1126.7488961464087,640.2002909538375
100,2024-01-01 16:30:00,Laptop,3620,593.8119758676737,6,Transfer,Mexico,1,771.9555686279758,4631.733411767855,1068.8615565618124,640.2001766315306
101,2024-01-01 16:40:00,Laptop,2325,709.9698426436828,3,PayPal,Mexico,4,922.9607954367876,2768.882386310363,638.9728583793144,640.2000623092238
102,2024-01-01 16:50:00,Smartwatch,2198,188.06871354852433,2,Credit Card,UK,2,244.48932761308163,488.97865522616326,112.8412281291146,640.1999479869169
103,2024-01-01 17:00:00,Laptop,1026,293.886712286975,4,Credit Card,USA,5,382.05272597306754,1528.2109038922702,352.6640547443701,640.19983366461
104,2024-01-01 17:10:00,Headphones,3080,161.85788534419737,9,PayPal,Estonia,5,210.4152509474566,1893.7372585271094,437.01629042933314,640.1997193423031
105,2024-01-01 17:20:00,Smartwatch,275,391.71455207544767,3,Crypto,USA,1,509.228917698082,1527.686753094246,352.54309686790293,640.1996050199962
106,2024-01-01 17:30:00,Smartphone,303,86.81279587903705,3,Credit Card,Mexico,5,112.85663464274818,338.5699039282445,78.13151629113332,640.1994906976893
107,2024-01-01 17:40:00,Laptop,4747,295.6803075509481,9,Transfer,Germany,2,384.38439981623253,3459.4595983460927,798.33683038756,640.1993763753824
108,2024-01-01 17:50:00,Smartwatch,474,102.49077558898726,3,Crypto,UK,1,133.23800826568345,399.71402479705034,92.24169803008857,640.1992620530755
109,2024-01-01 18:00:00,Smartwatch,1512,572.7160481615807,1,Crypto,USA,3,744.530862610055,744.530862610055,171.8148144484743,640.1991477307686
110,2024-01-01 18:10:00,Smartphone,2070,447.90016421938066,2,PayPal,Canada,5,582.2702134851949,1164.5404269703897,268.7400985316284,640.1990334084617
111,2024-01-01 18:20:00,Tablet,3708,83.57640314257935,6,Credit Card,Germany,3,108.64932408535316,651.895944512119,150.43752565664283,640.1989190861548
112,2024-01-01 18:30:00,Smartwatch,2223,158.61254643213977,9,Transfer,Canada,1,206.1963103617817,1855.7667932560355,428.2538753667775,640.1988047638479
113,2024-01-01 18:40:00,Laptop,3418,658.8130205204826,1,Crypto,Mexico,2,856.4569266766274,856.4569266766274,197.6439061561448,640.198690441541
114,2024-01-01 18:50:00,Headphones,3782,389.46089569376073,4,PayPal,Canada,2,506.29916440188896,2025.1966576075558,467.3530748325129,640.1985761192341
115,2024-01-01 19:00:00,Smartphone,489,251.8964119705441,4,Credit Card,Germany,2,327.4653355617074,1309.8613422468295,302.2756943646531,640.1984617969272
116,2024-01-01 19:10:00,Tablet,4626,732.5850217983387,6,Transfer,Germany,2,952.3605283378404,5714.163170027043,1318.6530392370105,640.1983474746203
117,2024-01-01 19:20:00,Smartwatch,317,152.48704250361925,8,Transfer,Mexico,3,198.23315525470503,1585.8652420376402,365.9689020086862,640.1982331523134
118,2024-01-01 19:30:00,Laptop,1591,372.1674472241674,2,Credit Card,Canada,4,483.81768139141764,967.6353627828353,223.30046833450047,640.1981188300065
119,2024-01-01 19:40:00,Laptop,2964,657.3192024671733,7,Transfer,Mexico,1,854.5149632073254,5981.604742451278,1380.3703251810648,640.1980045076996
120,2024-01-01 19:50:00,Smartphone,2412,340.0927930526427,3,Transfer,USA,3,442.12063096843553,1326.3618929053066,306.08351374737845,640.1978901853928
121,2024-01-01 20:00:00,Laptop,4972,60.669429363265095,6,Crypto,Germany,3,78.87025817224463,473.2215490334678,109.20497285387722,640.1977758630859
122,2024-01-01 20:10:00,Smartwatch,1599,624.2942048860289,7,Credit Card,Canada,1,811.5824663518375,5681.077264462862,1311.01783026066,640.197661540779
123,2024-01-01 20:20:00,Smartphone,1554,118.47198850887624,4,Transfer,Germany,2,154.01358506153912,616.0543402461565,142.16638621065152,640.1975472184721
124,2024-01-01 20:30:00,Headphones,2522,255.97065206326607,8,Transfer,Estonia,1,332.7618476822459,2662.094781457967,614.3295649518386,640.1974328961652
125,2024-01-01 20:40:00,Smartphone,3854,120.61911427055998,7,Crypto,Germany,1,156.80484855172799,1097.633939862096,253.30013996817615,640.1973185738583
126,2024-01-01 20:50:00,Smartwatch,2487,784.6713349933714,3,Transfer,Canada,5,1020.0727354913828,3060.2182064741482,706.2042014940344,640.1972042515514
127,2024-01-01 21:00:00,Smartwatch,2200,177.07224574617555,7,Crypto,Mexico,2,230.19391947002822,1611.3574362901975,371.8517160669687,640.1970899292445
128,2024-01-01 21:10:00,Headphones,3843,645.5988827431521,4,Transfer,Mexico,1,839.2785475660978,3357.1141902643913,774.7186592917828,640.1969756069376
129,2024-01-01 21:20:00,Headphones,284,665.7888210841264,3,Transfer,Mexico,1,865.5254674093644,2596.5764022280932,599.2099389757141,640.1968612846307
130,2024-01-01 21:30:00,Tablet,210,364.6964484178211,9,Credit Card,UK,4,474.10538294316746,4266.948446488507,984.6804107281173,640.1967469623238
131,2024-01-01 21:40:00,Tablet,2362,349.36002033886285,9,Transfer,USA,4,454.1680264405217,4087.5122379646955,943.2720549149299,640.1966326400169
132,2024-01-01 21:50:00,Laptop,4844,481.26126010492646,8,Crypto,Canada,5,625.6396381364044,5005.117105091235,1155.0270242518236,640.19651831771
133,2024-01-01 22:00:00,Smartphone,538,251.37108011000205,9,Transfer,Canada,3,326.7824041430027,2941.041637287024,678.7019162970055,640.1964039954031
134,2024-01-01 22:10:00,Smartphone,3251,581.943117972845,9,Transfer,USA,4,756.5260533646986,6808.734480282287,1571.2464185266817,640.1962896730962
135,2024-01-01 22:20:00,Tablet,1162,205.1527156233038,5,PayPal,Mexico,3,266.698530310295,1333.4926515514749,307.7290734349558,640.1961753507893
136,2024-01-01 22:30:00,Tablet,1755,262.5618871719729,4,Credit Card,Mexico,2,341.33045332356477,1365.321813294259,315.0742646063675,640.1960610284824
137,2024-01-01 22:40:00,Smartwatch,4976,710.0630242327125,4,Transfer,UK,1,923.0819315025262,3692.327726010105,852.0756290792551,640.1959467061755
138,2024-01-01 22:50:00,Laptop,301,210.75746995055482,4,Transfer,Estonia,1,273.9847109357213,1095.9388437428852,252.9089639406659,640.1958323838687
139,2024-01-01 23:00:00,Tablet,4797,433.6699753632039,8,Crypto,UK,5,563.7709679721651,4510.1677437773205,1040.8079408716894,640.1957180615618
140,2024-01-01 23:10:00,Smartwatch,334,277.57971971855113,3,Transfer,Germany,5,360.8536356341165,1082.5609069023494,249.82174774669602,640.1956037392549
141,2024-01-01 23:20:00,Headphones,1397,517.1011282434911,1,Transfer,Mexico,4,672.2314667165384,672.2314667165384,155.13033847304735,640.195489416948
142,2024-01-01 23:30:00,Headphones,1761,368.93607128224306,8,Crypto,Mexico,5,479.616892666916,3836.935141335328,885.4465710773834,640.1953750946411
143,2024-01-01 23:40:00,Laptop,2095,770.5325387146976,9,Crypto,Canada,4,1001.6923003291068,9015.230702961962,2080.437854529684,640.1952607723342
144,2024-01-01 23:50:00,Headphones,308,110.47199745944698,5,Credit Card,UK,5,143.61359669728108,718.0679834864054,165.70799618917044,640.1951464500273
145,2024-01-02 00:00:00,Tablet,3449,216.8491413793182,5,PayPal,Mexico,3,281.90388379311366,1409.5194189655683,325.2737120689774,640.1950321277204
146,2024-01-02 00:10:00,Headphones,2874,451.0223037302237,8,Credit Card,Estonia,1,586.3289948492909,4690.631958794327,1082.4535289525375,640.1949178054135
147,2024-01-02 00:20:00,Tablet,4259,794.7809143311213,7,Transfer,Canada,4,1033.2151886304578,7232.506320413204,1669.0399200953552,640.1948034831066
148,2024-01-02 00:30:00,Tablet,1187,157.1782647052246,4,Transfer,USA,1,204.33174411679198,817.3269764671679,188.61391764626956,640.1946891607997
149,2024-01-02 00:40:00,Smartphone,1307,269.25699501595165,8,Crypto,USA,3,350.03409352073714,2800.272748165897,646.216788038284,640.1945748384928
150,2024-01-02 00:50:00,Tablet,1270,597.5109081949233,8,Transfer,USA,5,776.7641806534003,6214.113445227203,1434.026179667816,640.1944605161859
151,2024-01-02 01:00:00,Laptop,1213,687.7180031358821,2,Transfer,UK,5,894.0334040766468,1788.0668081532936,412.63080188152935,640.194346193879
152,2024-01-02 01:10:00,Smartphone,4069,437.8328549086247,7,PayPal,Estonia,3,569.1827113812121,3984.2789796684847,919.4489953081115,640.1942318715721
153,2024-01-02 01:20:00,Smartphone,725,552.5623055580807,9,PayPal,Mexico,2,718.3309972255049,6464.978975029544,1491.918225006818,640.1941175492652
154,2024-01-02 01:30:00,Laptop,802,194.44683852319707,5,Credit Card,Mexico,4,252.7808900801562,1263.9044504007811,291.6702577847957,640.1940032269583
155,2024-01-02 01:40:00,Laptop,1580,89.44613342469589,1,Crypto,Canada,3,116.27997345210466,116.27997345210466,26.83384002740877,640.1938889046514
156,2024-01-02 01:50:00,Tablet,3989,772.9207058855868,2,Crypto,Canada,4,1004.7969176512629,2009.5938353025258,463.7524235313522,640.1937745823446
157,2024-01-02 02:00:00,Smartwatch,651,591.4734559108765,4,Transfer,Estonia,4,768.9154926841395,3075.661970736558,709.768147093052,640.1936602600377
158,2024-01-02 02:10:00,Laptop,3113,464.5906478901792,2,Crypto,UK,5,603.967842257233,1207.935684514466,278.7543887341076,640.1935459377308
159,2024-01-02 02:20:00,Smartphone,2918,252.43973586959032,5,Transfer,UK,4,328.17165663046745,1640.8582831523372,378.6596038043856,640.193431615424
160,2024-01-02 02:30:00,Smartwatch,2490,504.5188806607761,2,Crypto,Estonia,1,655.874544859009,1311.749089718018,302.7113283964658,640.193317293117
161,2024-01-02 02:40:00,Smartphone,1738,731.8884211135551,5,Credit Card,Canada,3,951.4549474476216,4757.274737238108,1097.8326316703328,640.1932029708101
162,2024-01-02 02:50:00,Smartwatch,1257,547.8860201954737,3,Credit Card,Mexico,4,712.2518262541159,2136.7554787623476,493.09741817592635,640.1930886485032
163,2024-01-02 03:00:00,Laptop,2020,189.18765929452223,5,PayPal,Germany,2,245.9439570828789,1229.7197854143947,283.78148894178344,640.1929743261963
164,2024-01-02 03:10:00,Smartwatch,1815,376.489298593528,6,Crypto,USA,5,489.43608817158645,2936.6165290295185,677.6807374683503,640.1928600038895
165,2024-01-02 03:20:00,Tablet,2919,598.0313174977853,3,Transfer,Canada,3,777.4407127471209,2332.3221382413626,538.2281857480068,640.1927456815826
166,2024-01-02 03:30:00,Smartphone,515,532.0807043882055,3,Credit Card,USA,3,691.7049157046672,2075.1147471140016,478.8726339493851,640.1926313592757
167,2024-01-02 03:40:00,Tablet,669,446.49314087974045,4,PayPal,USA,3,580.4410831436626,2321.7643325746503,535.7917690556885,640.1925170369688
168,2024-01-02 03:50:00,Laptop,571,528.1093227209342,1,PayPal,Canada,5,686.5421195372145,686.5421195372145,158.4327968162803,640.1924027146619
169,2024-01-02 04:00:00,Headphones,3070,249.40628180969637,9,PayPal,Germany,2,324.2281663526053,2918.053497173448,673.3969608861803,640.192288392355
170,2024-01-02 04:10:00,Laptop,2270,303.32574195180007,9,Crypto,Mexico,2,394.3234645373401,3548.911180836061,818.9795032698603,640.192174070048
171,2024-01-02 04:20:00,Tablet,1176,563.5501762431292,9,Crypto,USA,2,732.6152291160679,6593.537062044611,1521.5854758564483,640.1920597477412
172,2024-01-02 04:30:00,Headphones,4172,511.6217764448565,6,PayPal,Germany,1,665.1083093783135,3990.6498562698807,920.9191976007419,640.1919454254343
173,2024-01-02 04:40:00,Tablet,1673,274.13959576027236,8,Credit Card,Canada,4,356.38147448835406,2851.0517959068325,657.9350298246536,640.1918311031274
174,2024-01-02 04:50:00,Smartphone,2424,373.65256508156347,2,Transfer,UK,4,485.74833460603253,971.4966692120651,224.19153904893813,640.1917167808205
175,2024-01-02 05:00:00,Tablet,1972,165.82547344081328,2,PayPal,Mexico,1,215.57311547305727,431.14623094611454,99.49528406448798,640.1916024585137
176,2024-01-02 05:10:00,Laptop,2414,156.830058770459,5,PayPal,USA,1,203.8790764015967,1019.3953820079835,235.24508815568845,640.1914881362068
177,2024-01-02 05:20:00,Smartphone,1942,340.92889945205627,3,Credit Card,Estonia,2,443.20756928767315,1329.6227078630195,306.8360095068507,640.1913738138999
178,2024-01-02 05:30:00,Tablet,4598,99.6512480334587,1,PayPal,Mexico,4,129.54662244349632,129.54662244349632,29.89537441003762,640.191259491593
179,2024-01-02 05:40:00,Smartwatch,3807,696.8904638544395,1,PayPal,USA,5,905.9576030107714,905.9576030107714,209.0671391563319,640.1911451692861
180,2024-01-02 05:50:00,Headphones,2284,71.08897267719145,4,Credit Card,Estonia,3,92.4156644803489,369.6626579213956,85.30676721262978,640.1910308469792
